"Group_ID","Plant_Species","Soil_Type","Water_Frequency","Seeds_Planted","Seeds_Germinated","Days_to_Germination","Germination_Percent","Germination_Rate"
1,"Tomato","Clay","Daily",50,24,3,48,8
2,"Tomato","Sand","Every_2_Days",50,22,3,44,7.33
3,"Tomato","Loam","Every_3_Days",50,45,6,90,7.5
4,"Tomato","Clay","Daily",50,42,12,84,3.5
5,"Tomato","Sand","Every_2_Days",50,34,7,68,4.86
6,"Tomato","Loam","Every_3_Days",50,22,14,44,1.57
7,"Tomato","Clay","Daily",50,46,13,92,3.54
8,"Tomato","Sand","Every_2_Days",50,17,11,34,1.55
9,"Tomato","Loam","Every_3_Days",50,25,5,50,5
10,"Tomato","Clay","Daily",50,27,7,54,3.86
11,"Tomato","Sand","Every_2_Days",50,32,7,64,4.57
12,"Tomato","Loam","Every_3_Days",50,35,4,70,8.75
13,"Tomato","Clay","Daily",50,19,11,38,1.73
14,"Tomato","Sand","Every_2_Days",50,45,5,90,9
15,"Tomato","Loam","Every_3_Days",50,34,10,68,3.4
16,"Tomato","Clay","Daily",50,32,14,64,2.29
17,"Tomato","Sand","Every_2_Days",50,17,4,34,4.25
18,"Tomato","Loam","Every_3_Days",50,22,13,44,1.69
19,"Tomato","Clay","Daily",50,33,10,66,3.3
20,"Tomato","Sand","Every_2_Days",50,24,14,48,1.71
21,"Tomato","Loam","Every_3_Days",50,29,4,58,7.25
22,"Tomato","Clay","Daily",50,26,8,52,3.25
23,"Tomato","Sand","Every_2_Days",50,46,12,92,3.83
24,"Tomato","Loam","Every_3_Days",50,48,3,96,16
25,"Tomato","Clay","Daily",50,15,6,30,2.5
26,"Tomato","Sand","Every_2_Days",50,27,10,54,2.7
27,"Tomato","Loam","Every_3_Days",50,21,10,42,2.1
28,"Tomato","Clay","Daily",50,25,5,50,5
29,"Tomato","Sand","Every_2_Days",50,25,11,50,2.27
30,"Tomato","Loam","Every_3_Days",50,27,12,54,2.25
31,"Lettuce","Clay","Daily",50,48,8,96,6
32,"Lettuce","Sand","Every_2_Days",50,29,5,58,5.8
33,"Lettuce","Loam","Every_3_Days",50,28,3,56,9.33
34,"Lettuce","Clay","Daily",50,40,6,80,6.67
35,"Lettuce","Sand","Every_2_Days",50,42,14,84,3
36,"Lettuce","Loam","Every_3_Days",50,32,11,64,2.91
37,"Lettuce","Clay","Daily",50,31,3,62,10.33
38,"Lettuce","Sand","Every_2_Days",50,48,13,96,3.69
39,"Lettuce","Loam","Every_3_Days",50,26,8,52,3.25
40,"Lettuce","Clay","Daily",50,44,6,88,7.33
41,"Lettuce","Sand","Every_2_Days",50,34,11,68,3.09
42,"Lettuce","Loam","Every_3_Days",50,40,14,80,2.86
43,"Lettuce","Clay","Daily",50,39,10,78,3.9
44,"Lettuce","Sand","Every_2_Days",50,22,8,44,2.75
45,"Lettuce","Loam","Every_3_Days",50,34,14,68,2.43
46,"Lettuce","Clay","Daily",50,42,8,84,5.25
47,"Lettuce","Sand","Every_2_Days",50,47,3,94,15.67
48,"Lettuce","Loam","Every_3_Days",50,35,13,70,2.69
49,"Lettuce","Clay","Daily",50,48,13,96,3.69
50,"Lettuce","Sand","Every_2_Days",50,19,11,38,1.73
51,"Lettuce","Loam","Every_3_Days",50,26,4,52,6.5
52,"Lettuce","Clay","Daily",50,17,13,34,1.31
53,"Lettuce","Sand","Every_2_Days",50,32,5,64,6.4
54,"Lettuce","Loam","Every_3_Days",50,15,3,30,5
55,"Lettuce","Clay","Daily",50,22,13,44,1.69
56,"Lettuce","Sand","Every_2_Days",50,44,3,88,14.67
57,"Lettuce","Loam","Every_3_Days",50,34,3,68,11.33
58,"Lettuce","Clay","Daily",50,48,10,96,4.8
59,"Lettuce","Sand","Every_2_Days",50,35,13,70,2.69
60,"Lettuce","Loam","Every_3_Days",50,33,4,66,8.25
61,"Radish","Clay","Daily",50,32,3,64,10.67
62,"Radish","Sand","Every_2_Days",50,38,9,76,4.22
63,"Radish","Loam","Every_3_Days",50,43,8,86,5.38
64,"Radish","Clay","Daily",50,48,4,96,12
65,"Radish","Sand","Every_2_Days",50,36,7,72,5.14
66,"Radish","Loam","Every_3_Days",50,18,3,36,6
67,"Radish","Clay","Daily",50,37,11,74,3.36
68,"Radish","Sand","Every_2_Days",50,31,9,62,3.44
69,"Radish","Loam","Every_3_Days",50,34,4,68,8.5
70,"Radish","Clay","Daily",50,23,14,46,1.64
71,"Radish","Sand","Every_2_Days",50,33,6,66,5.5
72,"Radish","Loam","Every_3_Days",50,35,9,70,3.89
73,"Radish","Clay","Daily",50,31,12,62,2.58
74,"Radish","Sand","Every_2_Days",50,48,5,96,9.6
75,"Radish","Loam","Every_3_Days",50,21,9,42,2.33
76,"Radish","Clay","Daily",50,18,7,36,2.57
77,"Radish","Sand","Every_2_Days",50,15,10,30,1.5
78,"Radish","Loam","Every_3_Days",50,42,8,84,5.25
79,"Radish","Clay","Daily",50,31,7,62,4.43
80,"Radish","Sand","Every_2_Days",50,48,7,96,6.86
81,"Radish","Loam","Every_3_Days",50,41,4,82,10.25
82,"Radish","Clay","Daily",50,43,11,86,3.91
83,"Radish","Sand","Every_2_Days",50,40,5,80,8
84,"Radish","Loam","Every_3_Days",50,35,5,70,7
85,"Radish","Clay","Daily",50,27,11,54,2.45
86,"Radish","Sand","Every_2_Days",50,48,13,96,3.69
87,"Radish","Loam","Every_3_Days",50,42,13,84,3.23
88,"Radish","Clay","Daily",50,24,9,48,2.67
89,"Radish","Sand","Every_2_Days",50,46,12,92,3.83
90,"Radish","Loam","Every_3_Days",50,41,3,82,13.67
